N-грамма,Предложение,Контекст до,Контекст после
возможность,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.","Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи.",Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.
интерфейс,"Все данные записываются и хранятся в микросхеме памяти, для записи и чтения которых необходимо подключить USB-накопитель в любое считывающее устройство, где предусмотрен интерфейс USB [2].","USB-накопитель — это запоминающее устройство, используемое для хранения и записи данных с интегрированным интерфейсом USB [1].","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках."
интерфейс,"USBразъем (интерфейс) предназначен для подключения USB-накопителя к устройствам чтения/записи, что обеспечивает физическое соединение устройства с компьютером.",1).,"Наиболее чаще используются USB 2.0, USB 3.0, USB-C и microUSB."
значение,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал."
значение,"Развитие аппаратно-программных средств также имеет немаловажное значение для получения объективного, полного и достоверного результата.",Павлова боты с ними [10] и все чаще по уголовным делам стали использоваться электронные доказательства [11].,Нередко в экспертной практике при проведении судебной компьютернотехнической экспертизы появляется необходимость восстановления информации с поврежденных USB–накопителей.
значение,Изменяем значение параметра с 0 (режим записи) на 1 (режим чтения) (рис.,"В разделе Control создаем раздел StorageDevicePolicies, в котором устанавливаем параметр WriteProtect (тип dword).",12).
актуальность,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
набор микросхем,"Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках.","Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.)."
федерация,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
федерация,"Баумана, Москва, Российская Федерация.",Н.Э.,Научный руководитель — М.А.
федерация,"Баумана, Москва, Российская Федерация.",Н.Э.,Политехнический молодежный журнал.
число,"Считывание хэш-значений и сигнатур Подчеркнем, что для продолжения работы с устройством число просканированных файлов и полученные хэш-значения должны совпадать, в противном случае понадобится устранить разночтение прежде чем Рис.",15.,16.
получение,"Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",Для снятия механической блокировки необходимо передвинуть рычаг в противоположное направление [8].,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал."
подключить,"Все данные записываются и хранятся в микросхеме памяти, для записи и чтения которых необходимо подключить USB-накопитель в любое считывающее устройство, где предусмотрен интерфейс USB [2].","USB-накопитель — это запоминающее устройство, используемое для хранения и записи данных с интегрированным интерфейсом USB [1].","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках."
подключить,"Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт.","Внешний вид тыльной стороны вания SanDick Cruzer Facet с объемом объекта исследования SanDick Cruzer Facet памяти 2 Гбайта с объемом памяти 2 Гбайта Прежде чем начать работу с устройством, следует выполнить некоторые действия.","Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ."
уделять повышенное,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
разница стандартных,"Основная разница стандартных USB-интерфейсов заключается в производительности и скорости, например, скорость USB 3.0 рассчитана на 4,8 Гбайта в секунду, что в 10 раз больше скорости USB 2.0 [4].","Наиболее чаще используются USB 2.0, USB 3.0, USB-C и microUSB.","Любое взаимодействие USB-устройства с компьютером осуществляется с помощью микроконтроллера — микросхемы, которая управляет памятью и передает информацию [5]."
изменить,"Подключив устройство (для проверки первоначально рекомендуется использовать иное устройство, но не объект исследования), можем убедиться, что удалить или изменить данные не представляется возможным.",12).,Рис.
актуальность исследования,"Актуальность исследования USB-накопителей обусловлена их широким использованием в настоящее время, поскольку это наиболее удобные и практически незаменимые переносные устройства для хранения данных, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема информации.","Баумана, 2017 Введение.","В связи с этим данные устройства нередко становятся объектами исследования при проведении судебной компьютерно-технической экспертизы, поскольку могут содержать криминалистически важную информацию."
программные средства,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
программные средства,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи.","Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.","Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию."
принцип,Рассмотрим принцип работы комплекса PC-3000 flash.,"Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя.",Объектом исследования является поврежденный USB-накопителя производителя Transcend (рис.
принцип,Рассмотрим принцип работы комплекса Encase Forensic.,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13].",В качестве объекта исследования использовался USB-накопитель SanDick Cruzer Facet объемом памяти 2 Гбайта (рис.
принцип,[3] Принцип работы и устройство USB-флешки.,URL: https://www.lifewire.com/what-is-a-flash-drive-2625794 (дата обращения 10.09.2017).,URL: https://hobbyits.com/cifrovyetexnologii/princip-raboty-i-ustrojstvo-usb-fleshki.html (дата обращения 10.09.2017).
содержание,"Условия для решения поставленной задачи Выбрав условие (путем нажатия на него), получаем соответствующие ему данные, содержание которых, при необходимости, также можно проанализировать (рис.",18.,19).
средство,"Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию.",Павлова Программный Комплекс Encase Forensic Assistant.,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13]."
немаловажное значение,"Развитие аппаратно-программных средств также имеет немаловажное значение для получения объективного, полного и достоверного результата.",Павлова боты с ними [10] и все чаще по уголовным делам стали использоваться электронные доказательства [11].,Нередко в экспертной практике при проведении судебной компьютернотехнической экспертизы появляется необходимость восстановления информации с поврежденных USB–накопителей.
строение,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
программный комплекс,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
программный комплекс,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.,"Поиск решения в «системе решений» Возможность виртуализации контроллера играет важную роль в работе эксперта, поскольку нередко не представляется возможным восстановить данные с USB-устройства иными способами вследствие нерабочего состояния контроллера.",Политехнический молодежный журнал.
программный комплекс,Павлова Программный Комплекс Encase Forensic Assistant.,"№ 12 7
А.А.","Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию."
программный комплекс,"Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию.",Павлова Программный Комплекс Encase Forensic Assistant.,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13]."
энергонезависимая память,"Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6].",Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND)."
дата обращения,URL: http://www.compbegin.ru/articles/view/_116 (дата обращения 22.11.2017).,Основные характеристики USB-флеш-накопителей: что такое флэш-накопитель.,[2] What is a flash drive?
дата обращения,URL: https://www.lifewire.com/what-is-a-flash-drive-2625794 (дата обращения 10.09.2017).,[2] What is a flash drive?,[3] Принцип работы и устройство USB-флешки.
дата обращения,URL: https://hobbyits.com/cifrovyetexnologii/princip-raboty-i-ustrojstvo-usb-fleshki.html (дата обращения 10.09.2017).,[3] Принцип работы и устройство USB-флешки.,[4] В чем отличия USB-флешек USB 3.0 от USB 2.0.
дата обращения,URL: http://otnaspodarok.ru/v-chemotlichiya-fleshek-usb-3-0-ot-usb-2-0/ (дата обращения 10.09.2017).,[4] В чем отличия USB-флешек USB 3.0 от USB 2.0.,12 Политехнический молодежный журнал.
дата обращения,URL: https://www.bytemag.ru/articles/detail.php?ID=8660 (дата обращения 11.09.2017).,[6] Спиряев О. Технологии флеш-памяти.,[7] USB-флешки: что это и зачем они нужны.
дата обращения,URL: http://www.novintex.ru/read/actions/usb_flash (дата обращения 28.09.2017).,[7] USB-флешки: что это и зачем они нужны.,[8] Снятие защиты от записи с флешки.
дата обращения,URL: http://bsodstop.ru/kak-snyat-zashchitu-otzapisi-s-fleshki (дата обращения 28.09.2017).,[8] Снятие защиты от записи с флешки.,[9] Усов А.И.
дата обращения,URL: http://www.acelab.ru/dep.pc/pc3000.flash.php (дата обращения 17.08.17).,[12] РС-3000 flash.,[13] Encase Forensic.
дата обращения,URL: https://old.dialognauka.ru/products/encase_forensic/ (дата обращения 22.08.17).,[13] Encase Forensic.,"Павлова Анна Александровна — студентка кафедры «Юриспруденция, интеллектуальная собственность и судебная экспертиза», МГТУ им."
студентка,"Павлова Анна Александровна — студентка кафедры «Юриспруденция, интеллектуальная собственность и судебная экспертиза», МГТУ им.",URL: https://old.dialognauka.ru/products/encase_forensic/ (дата обращения 22.08.17).,Н.Э.
позволяет найти,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После завершения указанной процедуры эксперт переходит к использованию «системы решений», которая позволяет найти решение по восстановлению данных для комплекса PC-3000 flash (рис.",2017.,8).
позволяет найти,"Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию.",Павлова Программный Комплекс Encase Forensic Assistant.,"Кроме того, возможности данного комплекса не ограничиваются только поиском информации, с его помощью можно найти удаленные файлы, а также просмотреть их [13]."
федерация аннотация ключевые,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
множество производителей,"Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.).","Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.",Структура USB-накопителя.
внешний вид объекта,Внешний вид объекта исследо- Рис.,10.,11.
является основной,"Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя.",Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,Рассмотрим принцип работы комплекса PC-3000 flash.
эксперт,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
эксперт,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После подготовки объекта к исследованию эксперт загружает программную часть комплекса PC-3000 flash.",2017.,После того как пройдет инициализация (рис.
эксперт,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После завершения указанной процедуры эксперт переходит к использованию «системы решений», которая позволяет найти решение по восстановлению данных для комплекса PC-3000 flash (рис.",2017.,8).
